producto_id,name,categoria_id,subcategoria_id,age_group,genero,tipo_tela,color,estilo,fit,uso,descripcion,tags,marca_id,price,proveedor_id
1,Leggings de compresión Under Armour para niñas activas,2,18,niño,mujer,poliester,beige,activewear,compression,gym,"Estos leggings de compresión Under Armour están diseñados para niñas que aman el deporte y la actividad física. Confeccionados con un material de poliéster suave y transpirable, ofrecen una comodidad y flexibilidad excepcionales. Además, su diseño innovador incluye una banda elástica en la cintura para un ajuste perfecto y una libertad de movimiento total. Son ideales para practicar yoga, correr o simplemente para un día de entrenamiento en el gimnasio.","['ropa deportiva', 'mujer', 'niña', 'activewear', 'compresión', 'poliester', 'beige', 'under armour', 'gym', ' Running', 'Yoga', 'Fitness', 'Ropa de entrenamiento']",34,41.0,6
2,Falda Boho Chic en Tono Café,2,19,adulto joven,mujer,algodon,cafe,casual,slim,daily,"Esta hermosa falda bohemia en tono café es perfecta para cualquier ocasión diaria. Confeccionada en algodón suave y con un corte slim fit, esta falda es ideal para mujeres jóvenes que buscan un estilo casual y elegante. La falda cuenta con un estampado de flores sutiles en tonos marrones y beige, lo que le da un toque de distinción y sofisticación. Además, su estilo bohemio y su versatilidad la hacen perfecta para combinar con diferentes looks y accesorios, desde un par de botas de cuero hasta un par de sandalias planas.","['Moda urbana', 'Falda casual', 'Algodón suave', 'Slim fit', 'Mujer joven', 'Vestir diario', 'Estilo bohemio', 'Invierno suave', 'Otoño cálido', 'Verano fresco', 'Looks de moda', 'Tendencias actuales', 'Ropa cómoda']",4,152.0,5
3,Pantalones Cargo Beige para Niños,2,16,niño,unisex,poliester,beige,utility,regular,casual,"Estos pantalones cargo beige para niños son ideales para un día de aventuras al aire libre. Confeccionados con poliéster transpirable y un corte regular, ofrecen comodidad y libertad de movimiento. Además, cuentan con bolsillos laterales para guardar pequeños tesoros y un cierre de cremallera seguro. Perfectos para la escuela o para jugar con amigos, estos pantalones son una excelente opción para cualquier ocasión casual.","['pantalones de niño', 'ropa casual', 'estilo urbano', 'beige', 'poliéster', 'unisex', 'regular fit', 'bolsillos laterales', 'cierre de cremallera', 'tejido transpirable', 'para jugar', 'para la escuela', 'moda infantil']",1,48.0,10
4,Pantalones cargo de mujer Carhartt blancos,2,16,adulto mayor,mujer,poliester,blanco,streetwear,regular,casual,"Estos pantalones cargo de mujer Carhartt son ideales para un día casual en la ciudad. Confeccionados en poliester suave y resistente, tienen un estilo streetwear que les da un toque moderno y urbano. Además, cuentan con bolsillos laterales y traseros para llevar todos tus objetos personales, y tienen un cinturón ajustable para un ajuste perfecto. Son perfectos para caminar, hacer deporte o simplemente disfrutar de un día relajado en el parque.","['pantalones cargo', 'moda urbana', 'streetwear', 'mujer', 'adulto mayor', 'poliester', 'blanco', 'fit regular', 'uso casual', 'ropa comoda', 'pantalones para caminar', 'estilo relajado']",9,55.0,1
5,Camiseta Amarilla Minimalista con Detalle de Cuello,1,9,adulto joven,mujer,algodon,amarillo,minimalist,regular,casual,"La camiseta amarilla minimalista con cuello Henley es una prenda básica para cualquier época del año. Hecha de algodón suave, esta camiseta cuenta con un diseño simple y elegante, perfecto para un look casual y fresco. Además, su cuello Henley le da un toque de estilo y sofisticación, haciéndola ideal para usar en el día a día o para salir con amigos. Puedes combinarla con jeans, shorts o una falda para crear un look único y personalizado.","['Camisetas de mujer', 'Ropa casual', 'Estilo minimalista', 'Amarillo brillante', 'Algodón suave', 'Cuello Henley', 'Prenda básica', 'Verano', 'Otoño', 'Invierno', 'Primavera', 'Ropa para adultos jóvenes', 'Moda urbana']",19,20.0,3
6,Soutien deportivo Rosado Intenso,1,12,adulto joven,mujer,spandex,rosado,activewear,slim,training,"Este soutien deportivo rosado intenso de Adidas es perfecto para mujeres que buscan comodidad y estilo durante sus sesiones de entrenamiento. Confeccionado con spandex, ofrece un ajuste slim y flexible que se adapta a tus movimientos. Además, su diseño innovador incluye un refuerzo en la parte inferior para un mayor soporte y estabilidad, lo que te permite realizar tus ejercicios con confianza y seguridad. También cuenta con un pequeño bolsillo en la parte posterior para guardar tus objetos personales mientras te entrenas.","['Ropa deportiva', 'Soutien deportivo', 'Mujer', 'Activewear', 'Entrenamiento', 'Spandex', 'Rosado', 'Slim fit', 'Adidas', 'Deporte', 'Fitness', 'Moda deportiva', 'Ropa de entrenamiento']",2,41.0,2
7,Camisa de Gala Celeste Slim Fit para Niños,1,6,niño,hombre,poliester,celeste,luxury,slim,formal events,"Esta camisa de gala celeste slim fit para niños es perfecta para cualquier evento formal. Confeccionada con poliéster de alta calidad y un estilo de lujo, esta camisa cuenta con un diseño exclusivo que incluye un estampado sutil de rayas finas en tonos claros. La marca Armani garantiza la mejor calidad y comodidad para que tu pequeño se sienta como un verdadero gentleman en cualquier ocasión especial.","['Ropa de Gala', 'Camisas de Niño', 'Poliéster de Alta Calidad', 'Estilo de Lujo', 'Slim Fit', 'Celeste Intenso', 'Armani Junior', 'Ropa Formal para Niños', 'Eventos Especiales', 'Moda Infantil Luxe', 'Camisas con Estampados', 'Tuxedo para Niños', 'Ropa de Diseño']",5,1089.0,7
8,Turtleneck Elegante Verde Esmeralda para Niñas,1,5,niño,mujer,rayon,verde,elegant,slim,formal events,"Esta hermosa turtleneck de color verde esmeralda es perfecta para las niñas que aman la moda y el estilo. Confeccionada en rayon suave y ligero, esta prenda es ideal para eventos formales como fiestas de cumpleaños o bodas. La silueta slim fit y el cuello alto le dan un toque elegante y sofisticado, mientras que el estampado de flores diminutas en tonos pastel añade un toque de dulzura y feminidad. Es una prenda versátil que se puede combinar con una falda o pantalones para crear un look completo y elegante.","['moda infantil', 'verde esmeralda', 'turtleneck', 'mujer', 'elegante', 'vestido formal', 'rayon', 'ropa de niña', 'estilo urbano', 'fiesta de cumpleaños', 'eventos especiales', 'ropa slim fit', 'Zara kids']",37,69.0,10
9,Sweater Amarillo Niño Carhartt,1,7,niño,unisex,algodon,amarillo,casual,regular,casual,"Este sweater amarillo para niños de la marca Carhartt es ideal para el invierno y el otoño. Con su tejido de algodón suave y su estilo casual, es perfecto para un día en el parque o en la escuela. Además, cuenta con un diseño minimalista y un corte regular que garantiza la comodidad y la libertad de movimiento. La prenda también tiene un pequeño logotipo de la marca en el pecho y una pequeña cremallera en la parte superior para facilitar su uso.","['sweater amarillo', 'ropa para niños', 'estilo casual', 'tejido de algodón', 'unisex', 'prenda cálida', 'invierno', 'otoño', 'diseño minimalista', 'corte regular', 'comodidad garantizada', 'marca Carhartt', 'sweaters para niños']",9,84.0,6
10,Falda azul casual de algodón slim fit,2,19,adulto joven,mujer,algodon,azul,casual,slim,daily,"La falda azul casual de algodón es perfecta para un día de verano en la ciudad. Con un estilo slim fit y un color azul marino intenso, esta falda es ideal para combinar con una camiseta blanca y un par de sandalias para un look relajado y elegante. La falda cuenta con un estampado de flores pequeñas en tonos claros que le da un toque femenino y delicado. Además, el algodón es suave y fresco, lo que la hace perfecta para usar en cualquier momento del día.","['falda azul', 'moda casual', 'algodón', 'mujer', 'joven', 'diario', 'slim fit', 'estilo urbano', 'ropa para mujer', 'azul marino', 'falda para verano', 'conjunto casual', 'moda española']",26,78.0,10
11,Sweater Beige Oversize Niño Carhartt,1,7,niño,unisex,lana,beige,minimalist,oversize,casual,"Este sweater oversize de lana beige es perfecto para los pequeños que buscan comodidad y estilo. Con su diseño minimalista y su tejido de lana natural, este sweater es ideal para los días fríos de otoño e invierno. Además, cuenta con un pequeño logotipo de Carhartt en el pecho y una cremallera en la parte superior para un toque moderno. Es perfecto para combinarse con jeans y zapatillas para un look casual y urbano.","['Ropa de invierno', 'Sweaters oversize', 'Beige unisex', 'Lana natural', 'Moda urbana', 'Carhartt kids', 'Prendas casuales', 'Estilo minimalista', 'Niños fashion', 'Otoño e invierno', 'Diseño simple', 'Telas cálidas', 'Ropa para diario']",9,105.0,10
12,Pantalones de entrenamiento deportivo Champion junior,2,14,niño,unisex,algodon,celeste,sport,slim,gym,"Estos pantalones de entrenamiento deportivo Champion junior son perfectos para los pequeños atletas que buscan combinar comodidad y estilo. Con su tejido de algodón suave y transpirable, estos pantalones garantizan una sensación de frescura y libertad de movimiento en cualquier actividad deportiva. Además, su diseño slim y su color celeste claro lo hacen ideal para lucir en el gimnasio o en la calle, y su cintura elástica asegura un ajuste cómodo y seguro.","['ropa deportiva', 'pantalones joggers', 'niños', 'unisex', 'algodón', 'color celeste', 'estilo deportivo', 'talle slim', 'gimnasio', 'running', 'entrenamiento', 'moda urbana', 'ropa cómoda']",10,47.0,2
13,Leggins Deportivos Beige Slim Fit para Mujer,2,18,juvenil,mujer,spandex,beige,sport,slim,running,"Estos leggins deportivos de Alo Yoga son ideales para mujeres jóvenes que buscan combinar estilo y comodidad en su rutina de entrenamiento. Con su tejido de spandex elástico, ofrecen un ajuste slim fit que se adapta a tu cuerpo, permitiéndote moverte con libertad y confianza. Además, su color beige neutro te permitirá combinarlos con cualquier parte superior de tu armario, desde una camiseta básica hasta un top con estampados divertidos. Perfectos para salir a correr o practicar yoga, estos leggins son una excelente opción para cualquier mujer que busque ropa deportiva de calidad y estilo.","['leggins deportivos', 'mujer', 'beige', 'slim fit', 'running', 'yoga', 'moda urbana', 'ropa deportiva', 'spandex', 'comfort', 'estilo sport', 'juvenil', 'Alo Yoga', 'calidad premium']",3,109.0,7
14,Falda callejera verde esmeralda,2,19,adulto joven,mujer,algodon,verde,streetwear,regular,party,"Esta falda callejera verde esmeralda de ASOS es perfecta para una noche de fiesta con amigas. Confeccionada en algodon transpirable y con un estilo streetwear muy actual, esta falda regular fit es ideal para mujeres jóvenes que buscan una prenda cómoda y a la moda. Además, cuenta con un estampado de hojas muy chic que le da un toque único y original.","['vestido para fiesta', 'falda streetwear', 'mujer joven', 'algodon transpirable', 'verde intenso', 'regular fit', 'ropa para salir', 'moda urbana', 'ASOS', 'precio asequible', 'estilo relajado', 'para ir de noche', 'con estampado de hojas']",1,34.0,8
15,Camisa de cuello en V Roja para Mujer,1,10,adulto mayor,mujer,rayon,rojo,casual,regular,casual,"Esta camisa de cuello en V de Gap es perfecta para cualquier ocasión casual. Confeccionada con rayón suave y ligero, te brindará comodidad y frescura en cualquier momento del día. Su color rojo intenso es ideal para aquellos que buscan hacer una declaración de moda, y su estilo relajado la hace perfecta para salir con amigos o para un día de compras. Además, cuenta con un estampado de pequeñas flores blancas que le dan un toque femenino y delicado.","['Camisas de mujer', 'Ropa casual', 'Tops para adulto mayor', 'Rayón suave', 'Color rojo intenso', 'Estilo relajado', 'Ajustada pero cómoda', 'Para días de verano', 'Ideal para salir con amigos', 'Para todas las edades', 'Camisa con cuello en V', 'Ropa para mujer mayor', 'Prenda básica']",17,40.0,4
16,Top de entrenamiento Adidas SlimFit,1,3,juvenil,unisex,poliester,blanco,streetwear,slim,gym,"Este top de entrenamiento Adidas SlimFit es perfecto para tus sesiones de gimnasio, con un diseño streetwear que te hará destacar. Está hecho de poliéster ligero y transpirable, lo que te mantendrá fresco y seco durante tus ejercicios más intensos. El corte slim fit te proporciona un ajuste cómodo y moderno, mientras que el color blanco te da un toque de elegancia y versatilidad. Además, cuenta con detalles como una pequeña marca Adidas en el pecho y un estampado minimalista en la parte trasera.","['ropa deportiva', 'tank top', 'streetwear', 'juvenil', 'unisex', 'poliéster', 'blanco', 'gimnasio', 'fitness', 'moda urbana', 'estilo casual', 'comfortable', 'ligero']",2,25.0,10
17,Pantalones de running deportivos Nike para mujer,2,22,adulto joven,mujer,spandex,negro,sport,slim,running,"Estos pantalones de running deportivos Nike para mujer son perfectos para correr por la ciudad o entrenar en el gimnasio. Con su tejido elástico de spandex, brindan comodidad y flexibilidad en cada movimiento. Además, su diseño ajustado y suave garantiza un ajuste perfecto en las piernas, mientras que su color negro intenso se ve elegante y sofisticado. Están diseñados para durar, con un corte moderno y una calidad que solo Nike puede ofrecer.","['pantalones deportivos', 'running', 'mujer', 'negro', 'spandex', 'ajuste ajustado', 'deportes', 'fitness', 'moda urbana', 'ropa de running', 'Nike', 'adulto joven', 'estilo sport']",27,102.0,8
18,Chinos Verdes Slim Fit para Oficina,2,21,juvenil,hombre,algodon,verde,business casual,slim,office,"Estos chinos verdes slim fit de Gap son perfectos para el hombre joven que busca combinar estilo y comodidad en su vestimenta de oficina. Con su tela de algodón suave y transpirable, son ideales para cualquier época del año. Además, su corte ajustado y su color verde intenso los convierten en una excelente opción para aquellos que buscan destacarse en el trabajo o en una reunión social, y pueden ser combinados con una camisa blanca y un blazer para un look más elegante o con una camiseta y zapatillas para un look más casual.","['Ropa de oficina', 'Chinos verdes', 'Slim fit', 'Moda juvenil', 'Hombre', 'Business casual', 'Algodón', 'Verano', 'Invierno', 'Oficina', 'Descanso', 'Elegancia', 'Comodidad']",17,67.0,2
19,Pantalones de running Puma azul cielo juvenil,2,22,juvenil,mujer,poliester,celeste,sport,slim,running,"Estos pantalones de running Puma son perfectos para la mujer juvenil que busca combinar estilo y comodidad en su rutina deportiva. Con su talle ajustado y su color celeste, estos pantalones son ideales para correr o hacer cualquier actividad al aire libre. Además, cuentan con un diseño innovador que incluye una banda reflejante en la parte lateral para mayor visibilidad en la oscuridad. Son ligeros, transpirables y tienen un bolsillo pequeño para guardar las llaves o el teléfono mientras te mantienes en movimiento.","['pantalones de running', 'mujer juvenil', 'deporte', 'poliester', 'celeste', 'estilo deportivo', 'talle ajustado', 'para correr', 'ropa deportiva', 'moda urbana', 'Puma', 'juvenil', 'mujer']",29,89.0,3
20,Cuello de tortuga elegante para niños,1,5,niño,unisex,rayon,beige,elegant,slim,office,"Esta camiseta de cuello de tortuga para niños es perfecta para ocasiones especiales en la oficina, con su tejido de rayón suave y suave color beige que le da un toque de elegancia. Con su ajuste slim y su estilo urbano, es ideal para niños que quieren lucir bien vestidos sin renunciar a la comodidad. Además, cuenta con un pequeño estampado de rayas finas en el cuello que le da un toque de personalidad a la prenda.","['moda infantil', 'ropa de oficina', 'unisex', 'elegante', 'cuello de tortuga', 'tejido de rayón', 'color beige', 'ajuste slim', 'Ralph Lauren', 'ropa para niños', 'estilo urbano', 'prenda básica', 'ropa de invierno']",30,137.0,5
21,Sudadera Oversize Carhartt para Invierno,1,7,adulto joven,unisex,fleece,blanco,casual,oversize,winter,"La sudadera oversize Carhartt es perfecta para los días más fríos del invierno. Confeccionada en fleece blanco, esta prenda ofrece un estilo casual y cómodo, ideal para el adulto joven que busca una ropa práctica y a la moda. La sudadera tiene un cuello alto y una capucha ajustable para protegerte del viento y el frío, y cuenta con bolsillos laterales para guardar tus manos o pequeños objetos. Además, su diseño oversize le da un toque relajado y urbano, perfecto para combinar con jeans o pantalones de deporte.","['Ropa de invierno', 'Sudaderas oversize', 'Moda unisex', 'Fleece blanco', 'Carhartt', 'Adulto joven', 'Estilo casual', 'Abrigos para frío', 'Prendas de punto', 'Sudaderas con capucha', 'Ropa de calle', 'Invierno urbano', 'Calentitas para invierno']",9,89.0,6
22,Sweater de Fleece Café para Niño,1,7,niño,hombre,fleece,cafe,casual,regular,casual,"Este sweater de fleece café es perfecto para los días frescos de invierno, gracias a su tejido suave y cálido. Con un estilo casual y un ajuste regular, es ideal para los niños que buscan una prenda cómoda y versátil. La parte delantera cuenta con un pequeño logotipo de J.Crew, mientras que la manga larga y el cuello redondo brindan una protección extra contra el frío. Además, el color café claro es fácil de combinar con cualquier tipo de pantalón o short, lo que lo convierte en una excelente opción para la ropa diaria.","['Sweater de invierno', 'Ropa para niños', 'Fleece suave', 'Color café', 'Estilo casual', 'Ajuste regular', 'J.Crew', 'Prenda básica', 'Ropa urbana', 'Para días frescos', 'Sweater con cuello redondo', 'Ideal para escolares']",21,65.0,1
23,Vaqueros Azules Relajados de Calvin Klein,2,13,adulto joven,unisex,denim,azul,streetwear,regular,daily,"Estos vaqueros azules relajados de Calvin Klein son ideales para un día a día lleno de estilo y comodidad. Confeccionados con denim de alta calidad, ofrecen un ajuste regular y un estilo streetwear que les da un toque urbano y moderno. Además, cuentan con detalles como cinco bolsillos y un cinturón ajustable, lo que los hace perfectos para llevar en cualquier ocasión, ya sea para ir al parque, al cine o simplemente para pasar el día con amigos.","['Vaqueros de moda', 'Ropa para adultos jóvenes', 'Streetwear', 'Denim de calidad', 'Azul intenso', 'Talle regular', 'Uso diario', 'Calvin Klein', 'Moda urbana', 'Ropa unisex', 'Estilo casual', 'Vaqueros para todos', 'Comodo y fresco']",8,64.0,5
24,Cuello de tortuga rojo Minimalista para niñas,1,5,niño,mujer,lana,rojo,minimalist,regular,office,"Esta camiseta de cuello de tortuga rojo es perfecta para la niña que busca un estilo elegante y minimalista para la oficina. Confeccionada con lana suave y cálida, esta prenda es ideal para los días fríos de invierno. La camiseta cuenta con un estampado de pequeñas flores blancas que le dan un toque femenino y delicado, y su corte regular se ajusta perfectamente al cuerpo. Es una excelente opción para cualquier ocasión formal o semiformal en la oficina.","['Ropa de oficina', 'Prendas de lana', 'Colores vibrantes', 'Estilo minimalista', 'Cuello de tortuga', 'Ropa para niñas', 'Marcas de moda', 'Ralph Lauren', 'Oficina elegante', 'Ropa de invierno', 'Prendas cálidas', 'Tendencias actuales']",30,118.0,10
25,Camiseta Morada Street Supreme,1,1,adulto mayor,hombre,poliester,morado,streetwear,slim,casual,"La camiseta morada Supreme es perfecta para aquellos que buscan un estilo streetwear único y cómodo. Confeccionada en poliéster transpirable, esta camiseta slim cuenta con un estampado minimalista en la parte delantera y un diseño fresco que te hará destacar en cualquier situación. Ideal para un día casual en la ciudad, esta camiseta es una excelente opción para adultos mayores que buscan mantener su estilo juvenil y urbano. Además, su color morado intenso te dará un toque de personalidad y estilo que seguro te hará destacar.","['Streetwear', 'Camisetas slim', 'Ropa para adultos mayores', 'Estilo urbano', 'Poliéster transpirable', 'Colores vibrantes', 'Moda casual', 'Supreme authentic', 'Tops para hombre', 'Verano en la ciudad', 'Ropa cómoda', 'Estampados mínimos', 'Colección Supreme']",32,91.0,1
26,Camisa de estilo clásico para niños de Tommy Hilfiger,1,2,niño,hombre,rayon,beige,formal,slim,daily,"Esta camisa de Tommy Hilfiger es perfecta para cualquier ocasión formal o informal, gracias a su diseño minimalista y su color beige que combina con todo. Hecha de rayon, esta camisa es suave y cómoda, ideal para el uso diario. Con su ajuste slim fit, esta camisa se ajusta perfectamente al cuerpo, dándole un toque de estilo y elegancia a cualquier look. Además, cuenta con un estampado de rayas finas que le dan un toque de personalidad y distinción.","['camisa formal', 'ropa para niños', 'estilo urbano', 'beige', 'rayon', 'slim fit', 'usage diario', 'hombre joven', 'ropa de vestir', 'camisa de manga larga', 'diseño minimalista', 'ropa de calidad', 'marca reconocida']",33,114.0,1
27,Leggings deportivos Nike Azul Cielo,2,18,juvenil,mujer,poliester,celeste,sport,compression,gym,"Estos leggings deportivos Nike de color celeste son ideales para mujeres jóvenes que buscan combinar estilo y comodidad en sus sesiones de entrenamiento. Con su tejido de poliester transpirable y compresión ajustada, proporcionan un ajuste perfecto y permiten una libertad de movimiento total. Además, cuentan con un diseño moderno y minimalista, con una banda lateral reflectante que añade un toque de estilo y seguridad durante los entrenamientos nocturnos. Son perfectos para cualquier tipo de actividad física, desde yoga hasta running, y se pueden combinar con una variedad de tops y zapatillas deportivas.","['Ropa deportiva', 'Leggings femeninos', 'Poliester transpirable', 'Gym y fitness', 'Mujer juvenil', 'Sport chic', 'Compresión ajustada', 'Color celeste pastel', 'Nike original', 'Moda deportiva urbana', 'Entrenamiento intenso', 'Ropa cómoda']",27,49.0,7
28,Pantalones de running Under Armour café slim para mujer,2,22,juvenil,mujer,spandex,cafe,sport,slim,running,"Estos pantalones de running Under Armour son ideales para mujeres jóvenes que buscan combinar estilo y comodidad. Confeccionados con spandex, ofrecen una gran elasticidad y libertad de movimiento, lo que los hace perfectos para entrenamientos intensos o sesiones de running. Además, su color café claro es versátil y se puede combinar con una variedad de colores y estilos, y su ajuste slim asegura un look moderno y deportivo. También cuentan con detalles como una cintura elástica y bolsillos laterales para llevar tus pertenencias esenciales mientras te mantienes en movimiento.","['pantalones de running', 'mujer', 'juvenil', 'café', 'slim fit', 'Under Armour', ' deportes', 'moda urbana', 'sport', 'spandex', 'track pants', 'ropa de running', 'comoda', 'ligera']",34,69.0,2
29,Shorts de verano para niño deportista,2,15,niño,hombre,poliester,verde,casual,slim,gym,"Estos shorts de verano para niño deportista son ideales para cualquier actividad al aire libre. Confeccionados en poliester transpirable y un corte slim fit, ofrecen comodidad y libertad de movimiento. El color verde olivo es fresco y divertido, perfecto para un niño que ama el deporte y la aventura. Además, tienen un bolsillo lateral con cremallera para guardar pequeños objetos, como una llave o un snack.","['Ropa deportiva', 'Shorts para niño', 'Verde olivo', 'Poliester transpirable', 'Slim fit', 'Gimnasio', 'Deporte', 'Moda casual', 'Ropa para niño activo', 'Verano', 'Comodo', 'Elegante', 'Practico']",19,17.0,6
30,Bra de Deporte Rojo Fuego,1,12,adulto joven,mujer,poliester,rojo,activewear,slim,training,"Este bra de deporte rojo es perfecto para entrenar con estilo y comodidad. Con su ajuste slim y su tejido de poliester transpirable, te mantendrá fresca y seca durante tus sesiones de yoga o entrenamiento en el gimnasio. Además, su color rojo intenso te dará un toque de pasión y energía para enfrentar cualquier desafío deportivo. Su diseño minimalista y elegante te permite combinarlo con cualquier tipo de ropa deportiva para crear un look único y deportivo.","['deporte', 'mujer', 'activewear', 'rojo', 'poliester', 'slim fit', 'entrenamiento', 'yoga', '-running', 'ciclismo', 'fitness', 'moda deportiva', 'ropa de mujer']",3,67.0,3
31,Camisa de lino negro slim-fit para caballeros,1,2,adulto mayor,hombre,lino,negro,business casual,slim,daily,"Esta camisa de lino negro es perfecta para los caballeros que buscan un estilo elegante y fresco para el día a día. Confeccionada con un tejido transpirable y suave, esta prenda es ideal para el verano. Su corte slim-fit y su estilo business casual la convierten en una excelente opción para el trabajo o para una salida nocturna. Además, su diseño sencillo y minimalista la hace versátil para combinar con distintos estilos y accesorios.","['camisa de lino', 'ropa para adultos mayores', 'estilo business casual', 'colores oscuros', 'tejido transpirable', 'prendas para diario', 'moda masculina', 'Zara hombre', 'slim fit', 'camisa negra', 'ropa de verano', 'outfit para trabajo', 'lino natural']",37,34.0,7
32,Braza Sport Celeste Niña,1,12,niño,mujer,poliester,celeste,sport,slim,gym,"La Braza Sport Celeste Niña es ideal para las jóvenes deportistas que buscan comodidad y estilo en su ropa de entrenamiento. Confeccionada en poliéster transpirable y un ajuste slim que se adapta a tu cuerpo, esta braza ofrece el mejor rendimiento durante tus sesiones de gimnasio. Además, cuenta con un diseño exclusivo que incluye detalles de costura reflejante y un logo de Lululemon en el lateral, lo que la hace perfecta para lucir en cualquier momento, ya sea en el gimnasio o en la calle.","['Deportiva', 'Braza para gimnasio', 'Ropa de niña', 'Mujer deportista', 'Poliester transpirable', 'Color celeste claro', 'Estilo sport chic', 'Ajuste slim', 'Lululemon calidad', 'Para entrenar', 'Braza cómoda', 'Sportswear para niñas', 'Moda deportiva juvenil']",25,82.0,4
33,Pantalones de entrenamiento Champion Beige Oversize,2,20,adulto mayor,hombre,poliester,beige,cozy,oversize,gym,"Estos pantalones de entrenamiento Champion son ideales para el hombre mayor que busca comodidad y estilo en su rutina de ejercicios. Confeccionados en poliéster de alta calidad, estos pantalones ofrecen un ajuste oversize relajado y un color beige que combina perfectamente con cualquier parte superior. Además, cuentan con detalles como bolsillos laterales para llevar tus pertenencias personales y una cintura elástica para un ajuste seguro. Perfectos para una sesión de entrenamiento intensa en el gimnasio o para un día relajado en casa.","['moda deportiva', 'pantalones oversize', 'hombre mayor', 'poliester', 'beige', 'gym', 'entrenamiento', 'cozy', 'Champion', 'calidad garantizada', 'vestimenta deportiva', 'comodidad absoluta', 'estilo relajado']",10,72.0,6
